,name,model,seed,weights,filtered,embed_dim,lamda,align,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h,NO_h2h,test_triplet_acc,test_clf_acc,test_1nn_acc,rNINO_ds_acc
0,MTL0.8,MTL,2,"[1, 1, 0, 0]",False,512,0.8,1.0,wv_3d_linear_unfiltered,0.9874371886253356,0.9899497628211976,0.8701842546063651,0.928391959798995,0.9676666855812072,0.9899497628211976,0.984924623115578,0.9899497628211976
1,TN,TN,2,"[1, 1, 0, 0]",False,512,0.0,1.0,wv_3d_linear_unfiltered,0.9974874258041382,0.984924614429474,0.8873534338358459,0.960217755443886,0.9726666808128356,0.2939698398113251,0.984924623115578,0.9974874258041382
2,MTL0.5,MTL,2,"[1, 1, 0, 0]",False,512,0.5,1.0,wv_3d_linear_unfiltered,0.9874371886253356,0.9899497628211976,0.8756281407035176,0.9279731993299832,0.9698333144187928,0.9899497628211976,0.9899497487437184,0.984924614429474
3,MTL0.2,MTL,2,"[1, 1, 0, 0]",False,512,0.2,1.0,wv_3d_linear_unfiltered,0.9924623370170592,0.9874371886253356,0.8969849246231156,0.9593802345058626,0.9771666526794434,0.9874371886253356,0.9949748743718592,0.9874371886253356
4,TN,TN,2,"[1, 128, 0, 0]",False,512,0.0,0.98,wv_3d_linear_unfiltered,0.9346733689308168,0.9623115658760072,0.8957286432160805,0.969430485762144,0.975666642189026,0.30150753259658813,0.9623115577889448,0.9346733689308168
5,MTL0.8,MTL,2,"[1, 128, 0, 0]",False,512,0.8,0.98,wv_3d_linear_unfiltered,0.9497487545013428,0.9874371886253356,0.8634840871021776,0.9560301507537688,0.9664999842643738,0.9874371886253356,0.9874371859296482,0.9497487545013428
6,MTL0.5,MTL,2,"[1, 128, 0, 0]",False,512,0.5,0.98,wv_3d_linear_unfiltered,0.9572864174842834,0.979899525642395,0.8756281407035176,0.9564489112227806,0.971833348274231,0.979899525642395,0.9824120603015076,0.9572864174842834
7,MTL0.2,MTL,2,"[1, 128, 0, 0]",False,512,0.2,0.98,wv_3d_linear_unfiltered,0.9648241400718688,0.9773869514465332,0.8873534338358459,0.9673366834170856,0.9796666502952576,0.9773869514465332,0.9824120603015076,0.9547738432884216
8,TN,TN,1,"[1, 1, 0, 0]",False,512,0.0,1.0,wv_3d_linear_unfiltered,0.9899497628211976,0.9899497628211976,0.8932160804020102,0.9296482412060302,0.9713333249092102,0.5025125741958618,0.9899497487437184,0.9899497628211976
9,MTL0.8,MTL,2,"[128, 1, 0, 0]",False,512,0.8,0.97,wv_3d_linear_unfiltered,0.9623115658760072,0.967336654663086,0.8228643216080402,0.9535175879396984,0.968666672706604,0.967336654663086,0.9824120603015076,0.9623115658760072
10,MTL0.8,MTL,1,"[1, 1, 0, 0]",False,512,0.8,1.0,wv_3d_linear_unfiltered,0.9874371886253356,0.979899525642395,0.8693467336683417,0.9262981574539364,0.962000012397766,0.979899525642395,0.984924623115578,0.982412040233612
11,MTL0.5,MTL,1,"[1, 1, 0, 0]",False,512,0.5,1.0,wv_3d_linear_unfiltered,0.984924614429474,0.979899525642395,0.8760469011725295,0.9380234505862646,0.9699999690055848,0.979899525642395,0.9874371859296482,0.982412040233612
12,MTL0.5,MTL,2,"[128, 1, 0, 0]",False,512,0.5,0.97,wv_3d_linear_unfiltered,0.9547738432884216,0.9899497628211976,0.8463149078726969,0.9530988274706867,0.9653333425521852,0.9899497628211976,0.992462311557789,0.9547738432884216
13,TN,TN,2,"[128, 1, 0, 0]",False,512,0.0,0.97,wv_3d_linear_unfiltered,0.947236180305481,0.9648241400718688,0.8773031825795644,0.9773869346733668,0.9791666269302368,0.7613065242767334,0.964824120603015,0.947236180305481
14,MTL0.2,MTL,1,"[1, 1, 0, 0]",False,512,0.2,1.0,wv_3d_linear_unfiltered,0.9924623370170592,0.9899497628211976,0.8835845896147404,0.9690117252931324,0.97516667842865,0.9899497628211976,0.9899497487437184,0.9924623370170592
15,TN,TN,1,"[1, 128, 0, 0]",False,512,0.0,0.98,wv_3d_linear_unfiltered,0.9422110319137572,0.9547738432884216,0.887353433835846,0.9736180904522612,0.9853333234786988,0.7085427045822144,0.9547738693467336,0.9422110319137572
16,MTL0.8,MTL,1,"[1, 128, 0, 0]",False,512,0.8,0.98,wv_3d_linear_unfiltered,0.9447236061096193,0.9949748516082764,0.8559463986599666,0.9514237855946398,0.965833306312561,0.9949748516082764,0.9949748743718592,0.9447236061096193
17,TN,TN,0,"[1, 1, 0, 0]",False,512,0.0,1.0,wv_3d_linear_unfiltered,0.9949748516082764,0.9924623370170592,0.9049413735343383,0.9514237855946398,0.968999981880188,0.37185928225517273,0.992462311557789,0.9949748516082764
18,MTL0.5,MTL,1,"[1, 128, 0, 0]",False,512,0.5,0.98,wv_3d_linear_unfiltered,0.9371859431266784,0.982412040233612,0.8731155778894473,0.961892797319933,0.9789999723434448,0.982412040233612,0.984924623115578,0.9371859431266784
19,MTL0.2,MTL,1,"[1, 128, 0, 0]",False,512,0.2,0.98,wv_3d_linear_unfiltered,0.9547738432884216,0.979899525642395,0.8739530988274707,0.972361809045226,0.9800000190734864,0.979899525642395,0.9874371859296482,0.9522613286972046
20,MTL0.8,MTL,0,"[1, 1, 0, 0]",False,512,0.8,1.0,wv_3d_linear_unfiltered,0.9773869514465332,0.979899525642395,0.8860971524288107,0.926716917922948,0.9583333134651184,0.979899525642395,0.9798994974874372,0.9773869514465332
21,MTL0.5,MTL,0,"[1, 1, 0, 0]",False,512,0.5,1.0,wv_3d_linear_unfiltered,0.982412040233612,0.979899525642395,0.8890284757118928,0.9304857621440537,0.9631666541099548,0.979899525642395,0.9824120603015076,0.982412040233612
22,MTL0.2,MTL,0,"[1, 1, 0, 0]",False,512,0.2,1.0,wv_3d_linear_unfiltered,0.9949748516082764,0.9874371886253356,0.8869346733668341,0.945142378559464,0.965999960899353,0.9874371886253356,0.9949748743718592,0.9874371886253356
23,MTL0.2,MTL,2,"[128, 1, 0, 0]",False,512,0.2,0.97,wv_3d_linear_unfiltered,0.9522613286972046,0.982412040233612,0.8492462311557789,0.9690117252931324,0.9771666526794434,0.982412040233612,0.984924623115578,0.9497487545013428
24,TN,TN,1,"[128, 1, 0, 0]",False,512,0.0,0.97,wv_3d_linear_unfiltered,0.9195979833602904,0.9547738432884216,0.8517587939698492,0.9798994974874372,0.9821666479110718,0.3969849348068238,0.9547738693467336,0.9195979833602904
25,MTL0.8,MTL,1,"[128, 1, 0, 0]",False,512,0.8,0.97,wv_3d_linear_unfiltered,0.9221105575561525,0.9899497628211976,0.8417085427135679,0.96356783919598,0.962499976158142,0.9899497628211976,0.984924623115578,0.9221105575561525
26,MTL0.5,MTL,1,"[128, 1, 0, 0]",False,512,0.5,0.97,wv_3d_linear_unfiltered,0.9547738432884216,0.9773869514465332,0.8287269681742044,0.9505862646566164,0.9703333377838136,0.9773869514465332,0.9798994974874372,0.9522613286972046
27,MTL0.2,MTL,2,"[1, 2048, 0, 0]",False,512,0.2,0.96,wv_3d_linear_unfiltered,0.8065326809883118,0.979899525642395,0.8760469011725293,0.9778056951423784,0.9726666808128356,0.979899525642395,0.992462311557789,0.7989949584007263
28,MTL0.5,MTL,2,"[1, 2048, 0, 0]",False,512,0.5,0.96,wv_3d_linear_unfiltered,0.8190954923629761,0.9924623370170592,0.8701842546063651,0.9731993299832497,0.968833327293396,0.9924623370170592,0.9899497487437184,0.8190954923629761
29,MTL0.8,MTL,2,"[1, 2048, 0, 0]",False,512,0.8,0.96,wv_3d_linear_unfiltered,0.8618090748786926,0.9899497628211976,0.8655778894472362,0.9606365159128978,0.9618332982063292,0.9899497628211976,0.9899497487437184,0.8618090748786926
30,TN,TN,0,"[1, 128, 0, 0]",False,512,0.0,0.98,wv_3d_linear_unfiltered,0.947236180305481,0.9698492288589478,0.9007537688442212,0.9690117252931324,0.9764999747276306,0.572864294052124,0.9698492462311558,0.947236180305481
31,TN,TN,2,"[1, 2048, 0, 0]",False,512,0.0,0.96,wv_3d_linear_unfiltered,0.766331672668457,0.8994975090026855,0.8793969849246231,0.9752931323283084,0.981499969959259,0.24623115360736847,0.8994974874371859,0.766331672668457
32,MTL0.8,MTL,0,"[1, 128, 0, 0]",False,512,0.8,0.98,wv_3d_linear_unfiltered,0.9447236061096193,0.9924623370170592,0.8576214405360134,0.9526800670016752,0.9724999666213988,0.9924623370170592,0.992462311557789,0.9447236061096193
33,MTL0.2,MTL,1,"[128, 1, 0, 0]",False,512,0.2,0.97,wv_3d_linear_unfiltered,0.927135705947876,0.9874371886253356,0.8412897822445561,0.9610552763819096,0.972000002861023,0.9874371886253356,0.992462311557789,0.927135705947876
34,MTL0.5,MTL,0,"[1, 128, 0, 0]",False,512,0.5,0.98,wv_3d_linear_unfiltered,0.947236180305481,0.9899497628211976,0.8860971524288107,0.952680067001675,0.9716666340827942,0.9899497628211976,0.992462311557789,0.947236180305481
35,MTL0.2,MTL,0,"[1, 128, 0, 0]",False,512,0.2,0.98,wv_3d_linear_unfiltered,0.9497487545013428,0.979899525642395,0.8974036850921273,0.9690117252931324,0.9786666631698608,0.979899525642395,0.9899497487437184,0.9422110319137572
36,TN,TN,0,"[128, 1, 0, 0]",False,512,0.0,0.97,wv_3d_linear_unfiltered,0.9346733689308168,0.9623115658760072,0.855108877721943,0.9769681742043552,0.9769999980926514,0.69597989320755,0.9623115577889448,0.9346733689308168
37,MTL0.2,MTL,1,"[1, 2048, 0, 0]",False,512,0.2,0.96,wv_3d_linear_unfiltered,0.8090452551841736,0.9874371886253356,0.8957286432160805,0.972361809045226,0.9821666479110718,0.9874371886253356,0.992462311557789,0.8115577697753906
38,MTL0.5,MTL,1,"[1, 2048, 0, 0]",False,512,0.5,0.96,wv_3d_linear_unfiltered,0.8743718862533569,0.9949748516082764,0.8860971524288107,0.9614740368509213,0.9724999666213988,0.9949748516082764,0.992462311557789,0.8743718862533569
39,MTL0.8,MTL,1,"[1, 2048, 0, 0]",False,512,0.8,0.96,wv_3d_linear_unfiltered,0.856783926486969,0.9949748516082764,0.8576214405360134,0.9522613065326632,0.9671666622161864,0.9949748516082764,0.9974874371859296,0.8592965006828308
40,TN,TN,1,"[1, 2048, 0, 0]",False,512,0.0,0.96,wv_3d_linear_unfiltered,0.7814070582389832,0.876884400844574,0.8915410385259631,0.978643216080402,0.9791666269302368,0.7261306643486023,0.8768844221105527,0.7814070582389832
41,MTL0.8,MTL,0,"[128, 1, 0, 0]",False,512,0.8,0.97,wv_3d_linear_unfiltered,0.9396985173225404,0.9924623370170592,0.8098827470686767,0.9606365159128978,0.9713333249092102,0.9924623370170592,0.9899497487437184,0.9371859431266784
42,MTL0.5,MTL,0,"[128, 1, 0, 0]",False,512,0.5,0.97,wv_3d_linear_unfiltered,0.947236180305481,0.982412040233612,0.8358458961474037,0.9627303182579564,0.9749999642372132,0.982412040233612,0.9899497487437184,0.947236180305481
43,MTL0.2,MTL,0,"[128, 1, 0, 0]",False,512,0.2,0.97,wv_3d_linear_unfiltered,0.9547738432884216,0.979899525642395,0.8442211055276383,0.9660804020100504,0.9761666655540466,0.979899525642395,0.9899497487437184,0.947236180305481
44,MTL0.2,MTL,2,"[2048, 1, 0, 0]",False,512,0.2,0.95,wv_3d_linear_unfiltered,0.8165829181671143,0.9899497628211976,0.8446398659966499,0.9731993299832497,0.965499997138977,0.9899497628211976,0.9949748743718592,0.8165829181671143
45,MTL0.5,MTL,2,"[2048, 1, 0, 0]",False,512,0.5,0.95,wv_3d_linear_unfiltered,0.8442211151123047,0.982412040233612,0.8517587939698492,0.9443048576214405,0.9666666388511658,0.982412040233612,0.992462311557789,0.8417085409164429
46,MTL0.8,MTL,2,"[2048, 1, 0, 0]",False,512,0.8,0.95,wv_3d_linear_unfiltered,0.856783926486969,0.979899525642395,0.8492462311557789,0.960217755443886,0.959666669368744,0.979899525642395,0.9874371859296482,0.856783926486969
47,MTL0.2,MTL,2,"[0, 1, 0, 0]",False,512,0.2,0.62,wv_3d_linear_unfiltered,0.7085427045822144,0.9723618030548096,0.8793969849246231,0.9673366834170856,0.9666666388511658,0.9723618030548096,0.9899497487437184,0.7035176157951355
48,MTL0.2,MTL,0,"[1, 2048, 0, 0]",False,512,0.2,0.96,wv_3d_linear_unfiltered,0.8517587780952454,0.9874371886253356,0.8994974874371859,0.9669179229480735,0.978333294391632,0.9874371886253356,0.992462311557789,0.8467336893081665
49,MTL0.5,MTL,0,"[1, 2048, 0, 0]",False,512,0.5,0.96,wv_3d_linear_unfiltered,0.8592965006828308,0.982412040233612,0.8856783919597989,0.949748743718593,0.9711666703224182,0.982412040233612,0.9824120603015076,0.8592965006828308
50,TN,TN,0,"[1, 2048, 0, 0]",False,512,0.0,0.96,wv_3d_linear_unfiltered,0.7738693356513977,0.9170854091644288,0.8944723618090452,0.9794807370184256,0.9743333458900452,0.5603014826774597,0.9170854271356784,0.7738693356513977
51,MTL0.8,MTL,0,"[1, 2048, 0, 0]",False,512,0.8,0.96,wv_3d_linear_unfiltered,0.8668341636657715,0.9597989916801452,0.8718592964824121,0.9606365159128978,0.968999981880188,0.9597989916801452,0.984924623115578,0.8643215894699097
52,TN,TN,2,"[2048, 1, 0, 0]",False,512,0.0,0.95,wv_3d_linear_unfiltered,0.7361809015274048,0.8668341636657715,0.8324958123953099,0.9794807370184256,0.9786666631698608,0.4974874258041382,0.8668341708542714,0.7361809015274048
53,MTL0.5,MTL,2,"[0, 1, 0, 0]",False,512,0.5,0.62,wv_3d_linear_unfiltered,0.7035176157951355,0.9899497628211976,0.8793969849246231,0.9593802345058626,0.96916663646698,0.9899497628211976,0.992462311557789,0.7035176157951355
54,MTL0.8,MTL,2,"[1, 0, 0, 0]",False,512,0.8,0.67,wv_3d_linear_unfiltered,0.7060301303863525,0.9899497628211976,0.821608040201005,0.9530988274706867,0.9631666541099548,0.9899497628211976,0.9874371859296482,0.7060301303863525
55,MTL0.5,MTL,2,"[1, 0, 0, 0]",False,512,0.5,0.67,wv_3d_linear_unfiltered,0.7587939500808716,0.979899525642395,0.8371021775544388,0.9535175879396984,0.968666672706604,0.979899525642395,0.9824120603015076,0.7587939500808716
56,MTL0.8,MTL,2,"[0, 1, 0, 0]",False,512,0.8,0.62,wv_3d_linear_unfiltered,0.7412060499191284,0.982412040233612,0.8396147403685091,0.9530988274706867,0.9611666798591614,0.982412040233612,0.984924623115578,0.7386934757232666
57,MTL0.2,MTL,2,"[1, 0, 0, 0]",False,512,0.2,0.67,wv_3d_linear_unfiltered,0.713567852973938,0.9899497628211976,0.8664154103852596,0.96356783919598,0.971833348274231,0.9899497628211976,0.984924623115578,0.7160804271697998
58,TN,TN,2,"[1, 0, 0, 0]",False,512,0.0,0.67,wv_3d_linear_unfiltered,0.6256281137466431,0.8894472122192383,0.8752093802345059,0.9790619765494138,0.9838333129882812,0.7437185645103455,0.8894472361809045,0.6256281137466431
59,TN,TN,2,"[0, 1, 0, 0]",False,512,0.0,0.62,wv_3d_linear_unfiltered,0.6206030249595642,0.8844221234321594,0.8994974874371859,0.9819932998324958,0.9825000166893004,0.4748743772506714,0.8844221105527639,0.6206030249595642
60,MTL0.5,MTL,1,"[2048, 1, 0, 0]",False,512,0.5,0.95,wv_3d_linear_unfiltered,0.8266331553459167,0.9924623370170592,0.8538525963149078,0.9560301507537688,0.9736666679382324,0.9924623370170592,0.992462311557789,0.8266331553459167
61,MTL0.2,MTL,1,"[2048, 1, 0, 0]",False,512,0.2,0.95,wv_3d_linear_unfiltered,0.7763819098472595,0.982412040233612,0.8538525963149078,0.9656616415410384,0.9721666574478148,0.982412040233612,0.9874371859296482,0.7738693356513977
62,MTL0.8,MTL,1,"[2048, 1, 0, 0]",False,512,0.8,0.95,wv_3d_linear_unfiltered,0.8291457295417786,0.9924623370170592,0.8387772194304858,0.9614740368509214,0.9646666646003724,0.9924623370170592,0.992462311557789,0.8291457295417786
63,MTL0.2,MTL,1,"[0, 1, 0, 0]",False,512,0.2,0.62,wv_3d_linear_unfiltered,0.7236180901527405,0.9899497628211976,0.8752093802345059,0.966499162479062,0.9728333353996276,0.9899497628211976,0.9974874371859296,0.7211055159568787
64,TN,TN,1,"[2048, 1, 0, 0]",False,512,0.0,0.95,wv_3d_linear_unfiltered,0.8291457295417786,0.8869346976280212,0.8710217755443885,0.9782244556113904,0.9835000038146972,0.5025125741958618,0.8869346733668342,0.8291457295417786
65,MTL0.5,MTL,1,"[0, 1, 0, 0]",False,512,0.5,0.62,wv_3d_linear_unfiltered,0.7412060499191284,0.9899497628211976,0.8630653266331659,0.9606365159128978,0.9708333015441896,0.9899497628211976,0.9899497487437184,0.7437185645103455
66,MTL0.5,MTL,1,"[1, 0, 0, 0]",False,512,0.5,0.67,wv_3d_linear_unfiltered,0.7462311387062073,0.979899525642395,0.8668341708542714,0.9669179229480735,0.968999981880188,0.979899525642395,0.9824120603015076,0.7462311387062073
67,MTL0.8,MTL,1,"[1, 0, 0, 0]",False,512,0.8,0.67,wv_3d_linear_unfiltered,0.7964823842048645,0.9949748516082764,0.8408710217755444,0.9409547738693468,0.9618332982063292,0.9949748516082764,0.9949748743718592,0.7964823842048645
68,MTL0.8,MTL,1,"[0, 1, 0, 0]",False,512,0.8,0.62,wv_3d_linear_unfiltered,0.7160804271697998,0.9899497628211976,0.8576214405360134,0.9610552763819096,0.965833306312561,0.9899497628211976,0.992462311557789,0.7185929417610168
69,MTL0.2,MTL,1,"[1, 0, 0, 0]",False,512,0.2,0.67,wv_3d_linear_unfiltered,0.7236180901527405,0.9974874258041382,0.8433835845896147,0.9744556113902848,0.9746666550636292,0.9974874258041382,0.992462311557789,0.7236180901527405
70,TN,TN,1,"[1, 0, 0, 0]",False,512,0.0,0.67,wv_3d_linear_unfiltered,0.6005024909973145,0.856783926486969,0.861390284757119,0.9790619765494138,0.9786666631698608,0.5025125741958618,0.8567839195979899,0.6005024909973145
71,TN,TN,1,"[0, 1, 0, 0]",False,512,0.0,0.62,wv_3d_linear_unfiltered,0.5628140568733215,0.8944723606109619,0.9120603015075378,0.9828308207705192,0.9810000061988832,0.6984924674034119,0.8944723618090452,0.5628140568733215
72,MTL0.2,MTL,0,"[0, 1, 0, 0]",False,512,0.2,0.62,wv_3d_linear_unfiltered,0.7160804271697998,0.9773869514465332,0.9011725293132328,0.9656616415410384,0.9739999771118164,0.9773869514465332,0.9949748743718592,0.7085427045822144
73,MTL0.5,MTL,0,"[2048, 1, 0, 0]",False,512,0.5,0.95,wv_3d_linear_unfiltered,0.8417085409164429,0.9899497628211976,0.8383584589614741,0.966499162479062,0.971833348274231,0.9899497628211976,0.9874371859296482,0.8417085409164429
74,MTL0.8,MTL,0,"[2048, 1, 0, 0]",False,512,0.8,0.95,wv_3d_linear_unfiltered,0.8542713522911072,0.9899497628211976,0.8371021775544388,0.9597989949748744,0.9678333401679992,0.9899497628211976,0.992462311557789,0.8542713522911072
75,MTL0.2,MTL,0,"[2048, 1, 0, 0]",False,512,0.2,0.95,wv_3d_linear_unfiltered,0.8090452551841736,0.9874371886253356,0.8563651591289781,0.9681742043551088,0.9748333096504213,0.9874371886253356,0.992462311557789,0.8115577697753906
76,TN,TN,0,"[2048, 1, 0, 0]",False,512,0.0,0.95,wv_3d_linear_unfiltered,0.8015075325965881,0.8693467378616333,0.8626465661641541,0.9773869346733668,0.984499990940094,0.311557799577713,0.8693467336683417,0.8015075325965881
77,MTL0.8,MTL,0,"[1, 0, 0, 0]",False,512,0.8,0.67,wv_3d_linear_unfiltered,0.7236180901527405,0.9949748516082764,0.8287269681742043,0.946817420435511,0.965833306312561,0.9949748516082764,0.992462311557789,0.7261306643486023
78,TN,TN,0,"[0, 1, 0, 0]",False,512,0.0,0.62,wv_3d_linear_unfiltered,0.6206030249595642,0.8844221234321594,0.8886097152428811,0.9815745393634842,0.9816666841506958,0.6356784105300903,0.8844221105527639,0.6206030249595642
79,MTL0.5,MTL,0,"[0, 1, 0, 0]",False,512,0.5,0.62,wv_3d_linear_unfiltered,0.6834170818328857,0.9874371886253356,0.8731155778894472,0.9568676716917924,0.9695000052452089,0.9874371886253356,0.9899497487437184,0.6809045076370239
80,MTL0.8,MTL,0,"[0, 1, 0, 0]",False,512,0.8,0.62,wv_3d_linear_unfiltered,0.6733668446540833,0.9874371886253356,0.8689279731993299,0.9639865996649916,0.9591666460037231,0.9874371886253356,0.9899497487437184,0.6683416962623596
81,MTL0.5,MTL,0,"[1, 0, 0, 0]",False,512,0.5,0.67,wv_3d_linear_unfiltered,0.6809045076370239,0.984924614429474,0.8350083752093802,0.9585427135678392,0.9773333072662354,0.984924614429474,0.9874371859296482,0.6859296560287476
82,MTL0.2,MTL,0,"[1, 0, 0, 0]",False,512,0.2,0.67,wv_3d_linear_unfiltered,0.6859296560287476,0.9773869514465332,0.838358458961474,0.9660804020100504,0.978333294391632,0.9773869514465332,0.9899497487437184,0.6783919334411621
83,TN,TN,0,"[1, 0, 0, 0]",False,512,0.0,0.67,wv_3d_linear_unfiltered,0.590452253818512,0.8643215894699097,0.8668341708542714,0.9819932998324958,0.9804999828338624,0.5025125741958618,0.864321608040201,0.590452253818512
