wandb_project,wandb_group,wandb_name,seed,weights,embed_dim,lamda,test_1nn_acc,h2h_50,h2h_512,NINO_ds_acc_k=1,rNINO_ds_acc_k=1,NIFO_ds_acc_k=1,NINO_ds_acc_k=3,rNINO_ds_acc_k=3,NIFO_ds_acc_k=3,NINO_ds_acc_k=5,rNINO_ds_acc_k=5,NIFO_ds_acc_k=5,test_clf_acc,test_triplet_acc
wv_3d_num_triplets,align=0.925_p=0.0078125,MTL0.5,0,"[256, 1, 256, 256]",512,0.5,0.9975,0.6295,0.6295,0.9725,0.975,1.0,0.97,0.97,1.0,0.9575,0.9575,1.0,,
wv_3d_num_triplets,align=0.925_p=0.015625,MTL0.5,0,"[256, 1, 256, 256]",512,0.5,0.9975,0.617,0.617,0.9375,0.9375,0.9925,0.9675,0.97,0.995,0.9425,0.945,0.995,,
wv_3d_num_triplets,align=0.925_p=0.0078125,TN,0,"[256, 1, 256, 256]",512,0.0,0.995,0.65725,0.65725,0.83,0.83,1.0,0.87,0.87,0.9975,0.865,0.865,0.9975,,
wv_3d_num_triplets,align=0.925_p=0.015625,TN,0,"[256, 1, 256, 256]",512,0.0,0.995,0.65175,0.65175,0.805,0.805,1.0,0.8625,0.8625,1.0,0.8725,0.8725,1.0,,
wv_3d_num_triplets,align=0.925_p=0.03125,MTL0.5,0,"[256, 1, 256, 256]",512,0.5,0.9975,0.6745,0.6745,0.8825,0.8825,1.0,0.9,0.9,1.0,0.915,0.915,1.0,,
wv_3d_num_triplets,align=0.925_p=0.03125,TN,0,"[256, 1, 256, 256]",512,0.0,0.995,0.73175,0.73175,0.8575,0.86,1.0,0.9125,0.9125,1.0,0.9125,0.9125,1.0,,
wv_3d_num_triplets,align=0.925_p=0.0625,MTL0.5,0,"[256, 1, 256, 256]",512,0.5,0.995,0.761,0.761,0.92,0.92,1.0,0.935,0.935,1.0,0.95,0.95,1.0,,
wv_3d_num_triplets,align=0.925_p=0.0625,TN,0,"[256, 1, 256, 256]",512,0.0,0.9975,0.76575,0.76575,0.8425,0.8425,1.0,0.8725,0.875,1.0,0.8875,0.885,1.0,,
wv_3d_num_triplets,align=0.925_p=0.125,MTL0.5,0,"[256, 1, 256, 256]",512,0.5,0.995,0.78975,0.78975,0.94,0.94,1.0,0.955,0.955,1.0,0.965,0.965,1.0,,
wv_3d_num_triplets,align=0.8_p=0.015625,MTL0.5,0,"[1, 0, 1, 1]",512,0.5,0.9975,0.6485000000000001,0.6485000000000001,0.855,0.855,1.0,0.865,0.865,1.0,0.8525,0.8525,1.0,,
wv_3d_num_triplets,align=0.8_p=0.0078125,TN,0,"[1, 0, 1, 1]",512,0.0,0.9975,0.6615,0.6615,0.94,0.94,1.0,0.9225,0.9225,1.0,0.92,0.9175,1.0,,
wv_3d_num_triplets,align=0.8_p=0.015625,TN,0,"[1, 0, 1, 1]",512,0.0,0.995,0.69875,0.69875,0.7575,0.76,1.0,0.77,0.77,1.0,0.75,0.75,1.0,,
wv_3d_num_triplets,align=0.8_p=0.0078125,MTL0.5,0,"[1, 0, 1, 1]",512,0.5,1.0,0.65525,0.65525,0.945,0.945,1.0,0.9375,0.9375,0.995,0.9225,0.9225,0.995,,
wv_3d_num_triplets,align=0.925_p=0.125,TN,0,"[256, 1, 256, 256]",512,0.0,0.995,0.8014999999999999,0.8014999999999999,0.885,0.8875,1.0,0.885,0.8875,1.0,0.8975,0.8975,1.0,,
wv_3d_num_triplets,align=0.925_p=0.25,MTL0.5,0,"[256, 1, 256, 256]",512,0.5,1.0,0.81425,0.81425,0.9575,0.9575,1.0,0.9425,0.9425,1.0,0.9475,0.9475,1.0,,
wv_3d_num_triplets,align=0.925_p=0.25,TN,0,"[256, 1, 256, 256]",512,0.0,0.995,0.8230000000000001,0.8230000000000001,0.9025,0.9025,1.0,0.9175,0.92,1.0,0.92,0.9225,1.0,,
wv_3d_num_triplets,align=0.8_p=0.03125,MTL0.5,0,"[1, 0, 1, 1]",512,0.5,0.995,0.71575,0.71575,0.9125,0.915,1.0,0.8975,0.8975,1.0,0.8525,0.8525,1.0,,
wv_3d_num_triplets,align=0.8_p=0.0625,MTL0.5,0,"[1, 0, 1, 1]",512,0.5,0.9975,0.7065,0.7065,0.8825,0.8825,1.0,0.915,0.915,1.0,0.9025,0.9025,1.0,,
wv_3d_num_triplets,align=0.8_p=0.0625,TN,0,"[1, 0, 1, 1]",512,0.0,1.0,0.73,0.73,0.795,0.795,1.0,0.7775,0.7775,1.0,0.7875,0.7875,1.0,,
wv_3d_num_triplets,align=0.8_p=0.03125,TN,0,"[1, 0, 1, 1]",512,0.0,0.995,0.707,0.707,0.785,0.7875,1.0,0.835,0.835,1.0,0.8275,0.8275,1.0,,
wv_3d_num_triplets,align=0.8_p=0.125,MTL0.5,0,"[1, 0, 1, 1]",512,0.5,0.9975,0.7705,0.7705,0.93,0.9325,1.0,0.9175,0.92,1.0,0.8975,0.9,1.0,,
wv_3d_num_triplets,align=0.925_p=0.0078125,MTL0.5,1,"[256, 1, 256, 256]",512,0.5,0.9975,0.6017499999999999,0.6017499999999999,0.9225,0.925,0.9975,0.95,0.95,0.9975,0.94,0.94,0.9975,,
wv_3d_num_triplets,align=0.8_p=0.125,TN,0,"[1, 0, 1, 1]",512,0.0,0.9975,0.80175,0.80175,0.855,0.855,1.0,0.8075,0.8075,1.0,0.7975,0.7975,1.0,,
wv_3d_num_triplets,align=0.925_p=0.5,MTL0.5,0,"[256, 1, 256, 256]",512,0.5,0.995,0.8192499999999999,0.8192499999999999,0.96,0.9625,1.0,0.945,0.9425,1.0,0.9475,0.95,1.0,,
wv_3d_num_triplets,align=0.8_p=0.25,TN,0,"[1, 0, 1, 1]",512,0.0,0.995,0.826,0.826,0.9225,0.9225,1.0,0.8775,0.88,1.0,0.85,0.8525,1.0,,
wv_3d_num_triplets,align=0.8_p=0.25,MTL0.5,0,"[1, 0, 1, 1]",512,0.5,0.9975,0.808,0.808,0.9075,0.91,1.0,0.9175,0.92,1.0,0.9125,0.915,1.0,,
wv_3d_num_triplets,align=0.925_p=0.5,TN,0,"[256, 1, 256, 256]",512,0.0,0.995,0.8322499999999999,0.8322499999999999,0.9375,0.9375,1.0,0.9375,0.9375,1.0,0.9475,0.95,1.0,,
wv_3d_num_triplets,align=0.925_p=0.0078125,TN,1,"[256, 1, 256, 256]",512,0.0,0.9975,0.6427499999999999,0.6427499999999999,0.8625,0.865,0.9925,0.855,0.8575,0.9975,0.8725,0.8725,0.9975,,
wv_3d_num_triplets,align=0.925_p=0.015625,MTL0.5,1,"[256, 1, 256, 256]",512,0.5,0.9975,0.62075,0.62075,0.9025,0.9025,1.0,0.93,0.93,1.0,0.94,0.94,1.0,,
wv_3d_num_triplets,align=0.8_p=0.0078125,MTL0.5,1,"[1, 0, 1, 1]",512,0.5,0.995,0.6255,0.6255,0.86,0.8625,1.0,0.905,0.905,1.0,0.905,0.905,0.9975,,
wv_3d_num_triplets,align=0.8_p=0.0078125,TN,1,"[1, 0, 1, 1]",512,0.0,0.9975,0.67025,0.67025,0.8225,0.82,1.0,0.8325,0.8325,1.0,0.8325,0.83,1.0,,
wv_3d_num_triplets,align=0.925_p=0.015625,TN,1,"[256, 1, 256, 256]",512,0.0,0.99,0.6602500000000001,0.6602500000000001,0.78,0.7775,1.0,0.8425,0.8425,1.0,0.855,0.855,1.0,,
wv_3d_num_triplets,align=0.8_p=0.5,MTL0.5,0,"[1, 0, 1, 1]",512,0.5,0.9975,0.8399999999999999,0.8399999999999999,0.9325,0.9325,1.0,0.9075,0.9075,1.0,0.8825,0.8825,1.0,,
wv_3d_num_triplets,align=0.8_p=0.5,TN,0,"[1, 0, 1, 1]",512,0.0,0.9975,0.84925,0.84925,0.915,0.915,1.0,0.8775,0.8775,1.0,0.8625,0.8625,1.0,,
wv_3d_num_triplets,align=0.925_p=0.03125,MTL0.5,1,"[256, 1, 256, 256]",512,0.5,0.995,0.6672499999999999,0.6672499999999999,0.89,0.8925,1.0,0.9275,0.93,1.0,0.9175,0.9175,1.0,,
wv_3d_num_triplets,align=0.925_p=0.03125,TN,1,"[256, 1, 256, 256]",512,0.0,0.995,0.7125000000000001,0.7125000000000001,0.8625,0.8625,1.0,0.8875,0.8875,1.0,0.8975,0.8975,1.0,,
wv_3d_num_triplets,align=0.8_p=0.015625,MTL0.5,1,"[1, 0, 1, 1]",512,0.5,0.9975,0.6769999999999999,0.6769999999999999,0.8375,0.8375,1.0,0.8575,0.8575,1.0,0.8525,0.8525,1.0,,
wv_3d_num_triplets,align=0.8_p=0.015625,TN,1,"[1, 0, 1, 1]",512,0.0,0.9975,0.7122499999999999,0.7122499999999999,0.725,0.7225,1.0,0.7525,0.7525,1.0,0.7525,0.75,1.0,,
wv_3d_num_triplets,align=0.925_p=0.0625,MTL0.5,1,"[256, 1, 256, 256]",512,0.5,0.9975,0.7490000000000001,0.7490000000000001,0.9225,0.9225,1.0,0.93,0.93,1.0,0.925,0.925,1.0,,
wv_3d_num_triplets,align=0.8_p=0.03125,MTL0.5,1,"[1, 0, 1, 1]",512,0.5,0.9975,0.6935,0.6935,0.925,0.9275,1.0,0.8875,0.89,1.0,0.855,0.855,1.0,,
wv_3d_num_triplets,align=0.8_p=0.03125,TN,1,"[1, 0, 1, 1]",512,0.0,0.9925,0.69275,0.69275,0.81,0.81,1.0,0.8125,0.8125,1.0,0.82,0.82,1.0,,
wv_3d_num_triplets,align=0.925_p=0.0625,TN,1,"[256, 1, 256, 256]",512,0.0,0.9975,0.7717499999999999,0.7717499999999999,0.89,0.8925,1.0,0.89,0.89,1.0,0.91,0.91,1.0,,
wv_3d_num_triplets,align=0.8_p=0.0625,MTL0.5,1,"[1, 0, 1, 1]",512,0.5,0.995,0.6739999999999999,0.6739999999999999,0.925,0.93,1.0,0.915,0.92,1.0,0.895,0.9,1.0,,
wv_3d_num_triplets,align=0.925_p=0.125,MTL0.5,1,"[256, 1, 256, 256]",512,0.5,0.995,0.7935000000000001,0.7935000000000001,0.95,0.95,1.0,0.9475,0.9475,1.0,0.9625,0.9625,1.0,,
wv_3d_num_triplets,align=0.8_p=0.0625,TN,1,"[1, 0, 1, 1]",512,0.0,0.995,0.73325,0.73325,0.8525,0.85,1.0,0.8675,0.865,1.0,0.83,0.83,1.0,,
wv_3d_num_triplets,align=0.925_p=0.125,TN,1,"[256, 1, 256, 256]",512,0.0,0.9975,0.7907500000000001,0.7907500000000001,0.925,0.925,1.0,0.9125,0.9125,1.0,0.9275,0.9275,1.0,,
wv_3d_num_triplets,align=0.8_p=0.125,MTL0.5,1,"[1, 0, 1, 1]",512,0.5,0.995,0.7855000000000001,0.7855000000000001,0.92,0.9225,1.0,0.9375,0.9375,1.0,0.925,0.925,1.0,,
wv_3d_num_triplets,align=0.8_p=0.125,TN,1,"[1, 0, 1, 1]",512,0.0,0.9975,0.819,0.819,0.8675,0.8675,1.0,0.8225,0.8225,1.0,0.8,0.8,1.0,,
wv_3d_num_triplets,align=0.925_p=0.25,MTL0.5,1,"[256, 1, 256, 256]",512,0.5,0.995,0.798,0.798,0.935,0.9325,1.0,0.935,0.935,1.0,0.9475,0.9475,1.0,,
wv_3d_num_triplets,align=0.8_p=0.25,MTL0.5,1,"[1, 0, 1, 1]",512,0.5,0.995,0.8197500000000002,0.8197500000000002,0.895,0.895,1.0,0.8825,0.8825,1.0,0.8925,0.8925,1.0,,
wv_3d_num_triplets,align=0.8_p=0.25,TN,1,"[1, 0, 1, 1]",512,0.0,0.995,0.8119999999999999,0.8119999999999999,0.8475,0.85,1.0,0.8625,0.865,1.0,0.835,0.8325,1.0,,
wv_3d_num_triplets,align=0.925_p=0.25,TN,1,"[256, 1, 256, 256]",512,0.0,0.9975,0.8242499999999999,0.8242499999999999,0.93,0.93,1.0,0.94,0.94,1.0,0.94,0.94,1.0,,
wv_3d_num_triplets,align=0.925_p=0.5,MTL0.5,1,"[256, 1, 256, 256]",512,0.5,0.995,0.8154999999999999,0.8154999999999999,0.9625,0.9625,1.0,0.97,0.97,1.0,0.97,0.97,1.0,,
wv_3d_num_triplets,align=0.8_p=0.5,TN,1,"[1, 0, 1, 1]",512,0.0,0.9975,0.8515,0.8515,0.9225,0.9225,1.0,0.89,0.89,1.0,0.8875,0.8875,1.0,,
wv_3d_num_triplets,align=0.8_p=0.5,MTL0.5,1,"[1, 0, 1, 1]",512,0.5,0.9975,0.8334999999999999,0.8334999999999999,0.93,0.93,1.0,0.905,0.905,1.0,0.9025,0.9025,1.0,,
wv_3d_num_triplets,align=0.8_p=0.0078125,MTL0.5,2,"[1, 0, 1, 1]",512,0.5,0.9975,0.6217499999999999,0.6217499999999999,0.91,0.9125,1.0,0.905,0.905,1.0,0.9,0.9,0.9975,,
wv_3d_num_triplets,align=0.8_p=0.0078125,TN,2,"[1, 0, 1, 1]",512,0.0,0.9975,0.6759999999999999,0.6759999999999999,0.8425,0.8425,1.0,0.805,0.805,1.0,0.8025,0.8025,1.0,,
wv_3d_num_triplets,align=0.925_p=0.0078125,MTL0.5,2,"[256, 1, 256, 256]",512,0.5,0.9975,0.63625,0.63625,0.9375,0.9375,1.0,0.9475,0.9475,1.0,0.955,0.955,1.0,,
wv_3d_num_triplets,align=0.925_p=0.5,TN,1,"[256, 1, 256, 256]",512,0.0,0.995,0.8394999999999999,0.8394999999999999,0.975,0.975,1.0,0.965,0.965,1.0,0.9525,0.9525,1.0,,
wv_3d_num_triplets,align=0.925_p=0.0078125,TN,2,"[256, 1, 256, 256]",512,0.0,1.0,0.6719999999999999,0.6719999999999999,0.795,0.795,1.0,0.83,0.83,1.0,0.84,0.84,1.0,,
wv_3d_num_triplets,align=0.8_p=0.015625,MTL0.5,2,"[1, 0, 1, 1]",512,0.5,0.9975,0.664,0.664,0.88,0.88,1.0,0.8875,0.8875,1.0,0.87,0.87,1.0,,
wv_3d_num_triplets,align=0.8_p=0.015625,TN,2,"[1, 0, 1, 1]",512,0.0,0.9975,0.70175,0.70175,0.76,0.76,1.0,0.775,0.775,1.0,0.7775,0.7775,1.0,,
wv_3d_num_triplets,align=0.8_p=0.03125,TN,2,"[1, 0, 1, 1]",512,0.0,0.9975,0.741,0.741,0.8,0.8,1.0,0.85,0.8525,1.0,0.825,0.8275,1.0,,
wv_3d_num_triplets,align=0.8_p=0.03125,MTL0.5,2,"[1, 0, 1, 1]",512,0.5,0.995,0.7150000000000001,0.7150000000000001,0.8825,0.885,1.0,0.875,0.8725,1.0,0.905,0.9025,1.0,,
wv_3d_num_triplets,align=0.925_p=0.015625,MTL0.5,2,"[256, 1, 256, 256]",512,0.5,0.995,0.6217499999999999,0.6217499999999999,0.8725,0.875,1.0,0.895,0.8975,1.0,0.9125,0.915,1.0,,
wv_3d_num_triplets,align=0.925_p=0.015625,TN,2,"[256, 1, 256, 256]",512,0.0,0.995,0.63125,0.63125,0.785,0.785,1.0,0.8125,0.8125,1.0,0.855,0.855,1.0,,
wv_3d_num_triplets,align=0.925_p=0.03125,MTL0.5,2,"[256, 1, 256, 256]",512,0.5,0.995,0.6935,0.6935,0.92,0.9225,1.0,0.94,0.9425,1.0,0.9375,0.9375,1.0,,
wv_3d_num_triplets,align=0.8_p=0.0625,TN,2,"[1, 0, 1, 1]",512,0.0,0.995,0.7302500000000001,0.7302500000000001,0.8575,0.86,1.0,0.865,0.865,1.0,0.8525,0.8525,1.0,,
wv_3d_num_triplets,align=0.8_p=0.0625,MTL0.5,2,"[1, 0, 1, 1]",512,0.5,0.995,0.7132499999999999,0.7132499999999999,0.905,0.9075,1.0,0.895,0.895,1.0,0.8875,0.8875,1.0,,
wv_3d_num_triplets,align=0.8_p=0.125,MTL0.5,2,"[1, 0, 1, 1]",512,0.5,0.995,0.7755000000000001,0.7755000000000001,0.93,0.93,1.0,0.9,0.9,1.0,0.9025,0.9025,1.0,,
wv_3d_num_triplets,align=0.8_p=0.125,TN,2,"[1, 0, 1, 1]",512,0.0,0.9975,0.8012499999999999,0.8012499999999999,0.8075,0.8075,1.0,0.83,0.83,1.0,0.805,0.805,1.0,,
wv_3d_num_triplets,align=0.925_p=0.03125,TN,2,"[256, 1, 256, 256]",512,0.0,0.9975,0.7285,0.7285,0.875,0.875,1.0,0.9025,0.905,1.0,0.9,0.9,1.0,,
wv_3d_num_triplets,align=0.925_p=0.0625,MTL0.5,2,"[256, 1, 256, 256]",512,0.5,0.995,0.7505,0.7505,0.9125,0.9125,1.0,0.9275,0.9275,1.0,0.9425,0.9425,1.0,,
wv_3d_num_triplets,align=0.925_p=0.0625,TN,2,"[256, 1, 256, 256]",512,0.0,1.0,0.7779999999999999,0.7779999999999999,0.8625,0.8625,1.0,0.885,0.885,1.0,0.89,0.89,1.0,,
wv_3d_num_triplets,align=0.8_p=0.25,MTL0.5,2,"[1, 0, 1, 1]",512,0.5,0.995,0.81425,0.81425,0.9275,0.9325,1.0,0.905,0.9075,1.0,0.8975,0.9,1.0,,
wv_3d_num_triplets,align=0.8_p=0.25,TN,2,"[1, 0, 1, 1]",512,0.0,0.995,0.8452499999999998,0.8452499999999998,0.8975,0.8975,1.0,0.8625,0.8625,1.0,0.8525,0.8525,1.0,,
wv_3d_num_triplets,align=0.925_p=0.125,MTL0.5,2,"[256, 1, 256, 256]",512,0.5,0.995,0.7615000000000001,0.7615000000000001,0.915,0.915,1.0,0.9375,0.9375,1.0,0.9325,0.9325,1.0,,
wv_3d_num_triplets,align=0.925_p=0.125,TN,2,"[256, 1, 256, 256]",512,0.0,0.995,0.8092500000000001,0.8092500000000001,0.905,0.905,1.0,0.9175,0.92,1.0,0.9225,0.925,1.0,,
wv_3d_num_triplets,align=0.8_p=0.5,MTL0.5,2,"[1, 0, 1, 1]",512,0.5,0.9975,0.8575000000000002,0.8575000000000002,0.93,0.93,1.0,0.915,0.915,1.0,0.925,0.925,1.0,,
wv_3d_num_triplets,align=0.925_p=0.25,MTL0.5,2,"[256, 1, 256, 256]",512,0.5,0.995,0.8072499999999998,0.8072499999999998,0.93,0.9275,1.0,0.945,0.945,1.0,0.9525,0.9525,1.0,,
wv_3d_num_triplets,align=0.8_p=0.5,TN,2,"[1, 0, 1, 1]",512,0.0,0.995,0.8622500000000001,0.8622500000000001,0.9525,0.9525,1.0,0.945,0.945,1.0,0.935,0.9375,1.0,,
wv_3d_num_triplets,align=0.925_p=0.25,TN,2,"[256, 1, 256, 256]",512,0.0,0.9975,0.8107500000000002,0.8107500000000002,0.905,0.905,1.0,0.94,0.94,1.0,0.95,0.95,1.0,,
wv_3d_num_triplets,align=0.925_p=0.5,MTL0.5,2,"[256, 1, 256, 256]",512,0.5,0.995,0.8147500000000001,0.8147500000000001,0.92,0.9175,1.0,0.9325,0.93,1.0,0.9525,0.95,1.0,,
wv_3d_num_triplets,align=0.925_p=0.5,TN,2,"[256, 1, 256, 256]",512,0.0,0.995,0.8425,0.8425,0.935,0.935,1.0,0.945,0.945,1.0,0.9375,0.9375,1.0,,
