name,seed,weights,filtered,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h,NO_h2h,test_triplet_acc,test_clf_acc,test_1nn_acc,rNINO_ds_acc,align
MTL0.2,2,"[0, 0, 1, 1]",False,512,0.2,align=0.5,wv_3d_square_aligns,0.5674999952316284,0.9950000047683716,0.9229166666666666,0.97125,0.977833330631256,0.9950000047683716,0.995,0.5674999952316284,0.5
MTL0.5,2,"[0, 0, 1, 1]",False,512,0.5,align=0.5,wv_3d_square_aligns,0.637499988079071,1.0,0.9116666666666666,0.9454166666666668,0.9683333039283752,1.0,0.9975,0.637499988079071,0.5
MTL0.8,2,"[0, 0, 1, 1]",False,512,0.8,align=0.5,wv_3d_square_aligns,0.5475000143051147,0.9975000023841858,0.9091666666666668,0.96625,0.9714999794960022,0.9975000023841858,0.9975,0.5475000143051147,0.5
MTL0.2,2,"[256, 1, 256, 256]",False,512,0.2,align=0.925,wv_3d_square_aligns,0.8475000262260437,1.0,0.8595833333333333,0.9875,0.9791666269302368,1.0,0.9975,0.8475000262260437,0.925
MTL0.5,2,"[1, 0, 1, 1]",False,512,0.5,align=0.8,wv_3d_square_aligns,0.7975000143051147,1.0,0.9116666666666666,0.98625,0.9806666374206544,1.0,0.995,0.800000011920929,0.8
MTL0.8,2,"[256, 1, 256, 256]",False,512,0.8,align=0.925,wv_3d_square_aligns,0.8824999928474426,0.9950000047683716,0.8745833333333334,0.98875,0.9748333096504213,0.9950000047683716,0.995,0.8824999928474426,0.925
MTL0.2,2,"[1, 256, 256, 256]",False,512,0.2,align=0.92,wv_3d_square_aligns,0.8799999952316284,0.9975000023841858,0.8895833333333334,0.98125,0.9661666750907898,0.9975000023841858,0.995,0.8799999952316284,0.92
MTL0.5,2,"[1, 256, 256, 256]",False,512,0.5,align=0.92,wv_3d_square_aligns,0.8675000071525574,0.9975000023841858,0.88375,0.9795833333333333,0.9706666469573976,0.9975000023841858,0.99,0.8700000047683716,0.92
MTL0.5,2,"[0, 1, 1, 1]",False,512,0.5,align=0.83,wv_3d_square_aligns,0.8100000023841858,0.9975000023841858,0.8962499999999999,0.9758333333333334,0.9693333506584167,0.9975000023841858,0.9975,0.8100000023841858,0.83
MTL0.8,2,"[0, 1, 1, 1]",False,512,0.8,align=0.83,wv_3d_square_aligns,0.8149999976158142,1.0,0.8979166666666666,0.9791666666666666,0.9710000157356262,1.0,0.9975,0.8174999952316284,0.83
MTL0.2,2,"[1, 0, 1, 1]",False,512,0.2,align=0.8,wv_3d_square_aligns,0.8050000071525574,0.9975000023841858,0.90875,0.9879166666666668,0.9791666269302368,0.9975000023841858,0.995,0.8075000047683716,0.8
MTL0.5,2,"[256, 1, 256, 256]",False,512,0.5,align=0.925,wv_3d_square_aligns,0.8500000238418579,1.0,0.8516666666666666,0.9879166666666668,0.972000002861023,1.0,0.9925,0.8525000214576721,0.925
TN,2,"[0, 0, 1, 1]",False,512,0.0,align=0.5,wv_3d_square_aligns,0.5649999976158142,0.5325000286102295,0.92375,0.9708333333333332,0.9743333458900452,0.5325000286102295,0.7925,0.5350000262260437,0.5
TN,2,"[1, 0, 1, 1]",False,512,0.0,align=0.8,wv_3d_square_aligns,0.7225000262260437,0.3149999976158142,0.7154166666666667,0.9975,0.9726666808128356,0.3149999976158142,0.7975,0.5924999713897705,0.8
TN,2,"[0, 1, 1, 1]",False,512,0.0,align=0.83,wv_3d_square_aligns,0.7799999713897705,0.4074999988079071,0.7358333333333333,0.9945833333333334,0.9788333177566528,0.4074999988079071,0.8375,0.612500011920929,0.83
TN,2,"[256, 1, 256, 256]",False,512,0.0,align=0.925,wv_3d_square_aligns,0.8224999904632568,0.4050000011920929,0.6879166666666667,0.9966666666666668,0.9701666831970216,0.4050000011920929,0.815,0.6524999737739563,0.925
TN,2,"[1, 256, 256, 256]",False,512,0.0,align=0.92,wv_3d_square_aligns,0.8475000262260437,0.5375000238418579,0.6675,0.9941666666666666,0.9679999947547911,0.5375000238418579,0.84,0.7524999976158142,0.92
TN,2,"[1, 1, 1, 1]",False,512,0.0,align=1,wv_3d_square_aligns,1.0,0.3849999904632568,0.43249999999999994,0.99,0.9634999632835388,0.3849999904632568,1.0,0.6899999976158142,1.0
MTL0.2,1,"[0, 0, 1, 1]",False,512,0.2,align=0.5,wv_3d_square_aligns,0.6274999976158142,0.9975000023841858,0.9270833333333334,0.9491666666666668,0.9639999866485596,0.9975000023841858,0.995,0.625,0.5
MTL0.8,1,"[0, 0, 1, 1]",False,512,0.8,align=0.5,wv_3d_square_aligns,0.6274999976158142,0.9975000023841858,0.9275,0.9470833333333332,0.9634999632835388,0.9975000023841858,0.9925,0.6274999976158142,0.5
MTL0.5,1,"[0, 0, 1, 1]",False,512,0.5,align=0.5,wv_3d_square_aligns,0.6324999928474426,0.9950000047683716,0.94,0.9516666666666668,0.9663333296775818,0.9950000047683716,0.995,0.6324999928474426,0.5
MTL0.5,1,"[256, 1, 256, 256]",False,512,0.5,align=0.925,wv_3d_square_aligns,0.8974999785423279,0.9975000023841858,0.8816666666666667,0.98,0.9670000076293944,0.9975000023841858,0.995,0.8999999761581421,0.925
TN,1,"[0, 0, 1, 1]",False,512,0.0,align=0.5,wv_3d_square_aligns,0.5699999928474426,0.5400000214576721,0.925,0.9741666666666666,0.977666676044464,0.5400000214576721,0.825,0.5550000071525574,0.5
MTL0.5,2,"[1, 1, 1, 1]",False,512,0.5,align=1,wv_3d_square_aligns,1.0,0.9950000047683716,0.8562500000000001,0.98375,0.9643332958221436,0.9950000047683716,1.0,1.0,1.0
MTL0.2,1,"[256, 1, 256, 256]",False,512,0.2,align=0.925,wv_3d_square_aligns,0.915000021457672,0.9950000047683716,0.8858333333333333,0.98375,0.9693333506584167,0.9950000047683716,0.9975,0.912500023841858,0.925
MTL0.2,1,"[1, 0, 1, 1]",False,512,0.2,align=0.8,wv_3d_square_aligns,0.7774999737739563,0.9950000047683716,0.9233333333333332,0.9883333333333332,0.9708333015441896,0.9950000047683716,0.9875,0.7799999713897705,0.8
MTL0.8,1,"[1, 0, 1, 1]",False,512,0.8,align=0.8,wv_3d_square_aligns,0.7825000286102295,0.9975000023841858,0.89875,0.98625,0.9706666469573976,0.9975000023841858,0.9975,0.7825000286102295,0.8
MTL0.5,1,"[1, 256, 256, 256]",False,512,0.5,align=0.92,wv_3d_square_aligns,0.8725000023841858,0.9950000047683716,0.8737499999999999,0.9825,0.9710000157356262,0.9950000047683716,0.9975,0.8725000023841858,0.92
MTL0.2,1,"[1, 256, 256, 256]",False,512,0.2,align=0.92,wv_3d_square_aligns,0.8675000071525574,0.9950000047683716,0.88375,0.9808333333333332,0.9735000133514404,0.9950000047683716,0.995,0.8650000095367432,0.92
MTL0.5,1,"[0, 1, 1, 1]",False,512,0.5,align=0.83,wv_3d_square_aligns,0.8299999833106995,0.9975000023841858,0.9141666666666666,0.975,0.9738333225250244,0.9975000023841858,0.9975,0.8274999856948853,0.83
MTL0.8,1,"[256, 1, 256, 256]",False,512,0.8,align=0.925,wv_3d_square_aligns,0.9300000071525574,0.9975000023841858,0.8779166666666667,0.9791666666666666,0.9676666855812072,0.9975000023841858,0.995,0.9300000071525574,0.925
MTL0.8,1,"[0, 1, 1, 1]",False,512,0.8,align=0.83,wv_3d_square_aligns,0.8924999833106995,0.9950000047683716,0.8958333333333334,0.94625,0.96016663312912,0.9950000047683716,1.0,0.8924999833106995,0.83
MTL0.2,1,"[0, 1, 1, 1]",False,512,0.2,align=0.83,wv_3d_square_aligns,0.8199999928474426,0.9975000023841858,0.91125,0.9733333333333332,0.9701666831970216,0.9975000023841858,0.9825,0.8224999904632568,0.83
MTL0.8,1,"[1, 256, 256, 256]",False,512,0.8,align=0.92,wv_3d_square_aligns,0.8725000023841858,0.9975000023841858,0.8904166666666665,0.9795833333333334,0.9636666774749756,0.9975000023841858,0.9975,0.8725000023841858,0.92
MTL0.2,1,"[1, 1, 1, 1]",False,512,0.2,align=1,wv_3d_square_aligns,1.0,0.9975000023841858,0.8608333333333333,0.9845833333333336,0.9643332958221436,0.9975000023841858,1.0,1.0,1.0
MTL0.8,1,"[1, 1, 1, 1]",False,512,0.8,align=1,wv_3d_square_aligns,1.0,0.9950000047683716,0.84,0.98125,0.965666651725769,0.9950000047683716,0.9975,1.0,1.0
TN,1,"[1, 0, 1, 1]",False,512,0.0,align=0.8,wv_3d_square_aligns,0.7850000262260437,0.4325000047683716,0.7116666666666666,0.9966666666666668,0.9711666703224182,0.4325000047683716,0.8275,0.612500011920929,0.8
TN,1,"[0, 1, 1, 1]",False,512,0.0,align=0.83,wv_3d_square_aligns,0.800000011920929,0.5400000214576721,0.68375,0.9920833333333332,0.9695000052452089,0.5400000214576721,0.8325,0.6524999737739563,0.83
TN,1,"[256, 1, 256, 256]",False,512,0.0,align=0.925,wv_3d_square_aligns,0.8349999785423279,0.5950000286102295,0.7333333333333334,0.995,0.971833348274231,0.5950000286102295,0.8525,0.6725000143051147,0.925
TN,1,"[1, 256, 256, 256]",False,512,0.0,align=0.92,wv_3d_square_aligns,0.862500011920929,0.5400000214576721,0.6687500000000001,0.9875,0.971833348274231,0.5400000214576721,0.845,0.7425000071525574,0.92
TN,1,"[1, 1, 1, 1]",False,512,0.0,align=1,wv_3d_square_aligns,1.0,0.5625,0.5879166666666666,0.9908333333333332,0.965666651725769,0.5625,1.0,0.8100000023841858,1.0
MTL0.5,1,"[1, 1, 1, 1]",False,512,0.5,align=1,wv_3d_square_aligns,1.0,0.9950000047683716,0.8545833333333333,0.9820833333333332,0.9638333320617676,0.9950000047683716,0.9975,0.9975000023841858,1.0
MTL0.5,0,"[256, 1, 256, 256]",False,512,0.5,align=0.925,wv_3d_square_aligns,0.8849999904632568,0.9950000047683716,0.8758333333333334,0.9808333333333332,0.9693333506584167,0.9950000047683716,0.995,0.8849999904632568,0.925
MTL0.2,0,"[256, 1, 256, 256]",False,512,0.2,align=0.925,wv_3d_square_aligns,0.8475000262260437,0.9950000047683716,0.8683333333333333,0.9829166666666668,0.975499987602234,0.9950000047683716,0.995,0.8525000214576721,0.925
TN,0,"[1, 0, 1, 1]",False,512,0.0,align=0.8,wv_3d_square_aligns,0.8075000047683716,0.4000000059604645,0.8258333333333333,0.9883333333333332,0.9764999747276306,0.4000000059604645,0.8225,0.7049999833106995,0.8
TN,0,"[0, 0, 1, 1]",False,512,0.0,align=0.5,wv_3d_square_aligns,0.550000011920929,0.4600000083446502,0.9095833333333332,0.97375,0.9706666469573976,0.4600000083446502,0.835,0.5024999976158142,0.5
MTL0.8,0,"[0, 0, 1, 1]",False,512,0.8,align=0.5,wv_3d_square_aligns,0.5874999761581421,0.9975000023841858,0.9108333333333332,0.9570833333333332,0.9673333168029784,0.9975000023841858,0.9925,0.5899999737739563,0.5
MTL0.2,0,"[0, 0, 1, 1]",False,512,0.2,align=0.5,wv_3d_square_aligns,0.5625,0.9975000023841858,0.91375,0.9641666666666668,0.9711666703224182,0.9975000023841858,0.9925,0.5625,0.5
MTL0.5,0,"[0, 0, 1, 1]",False,512,0.5,align=0.5,wv_3d_square_aligns,0.5824999809265137,0.9925000071525574,0.9279166666666666,0.9645833333333332,0.9714999794960022,0.9925000071525574,0.995,0.5824999809265137,0.5
MTL0.8,0,"[0, 1, 1, 1]",False,512,0.8,align=0.83,wv_3d_square_aligns,0.8725000023841858,0.9975000023841858,0.9058333333333334,0.9741666666666666,0.9653333425521852,0.9975000023841858,0.9975,0.8725000023841858,0.83
MTL0.2,0,"[0, 1, 1, 1]",False,512,0.2,align=0.83,wv_3d_square_aligns,0.8075000047683716,0.9950000047683716,0.9204166666666668,0.9791666666666666,0.9733332991600036,0.9950000047683716,0.9925,0.8050000071525574,0.83
MTL0.5,0,"[0, 1, 1, 1]",False,512,0.5,align=0.83,wv_3d_square_aligns,0.8500000238418579,0.9975000023841858,0.9054166666666666,0.9733333333333332,0.9714999794960022,0.9975000023841858,0.9975,0.8500000238418579,0.83
MTL0.5,0,"[1, 0, 1, 1]",False,512,0.5,align=0.8,wv_3d_square_aligns,0.8500000238418579,0.9950000047683716,0.9158333333333334,0.9791666666666666,0.9701666831970216,0.9950000047683716,0.995,0.8500000238418579,0.8
TN,0,"[0, 1, 1, 1]",False,512,0.0,align=0.83,wv_3d_square_aligns,0.7850000262260437,0.4600000083446502,0.8583333333333334,0.9833333333333334,0.9704999923706056,0.4600000083446502,0.8625,0.6625000238418579,0.83
MTL0.2,0,"[1, 0, 1, 1]",False,512,0.2,align=0.8,wv_3d_square_aligns,0.8075000047683716,0.9975000023841858,0.90875,0.98375,0.9729999899864196,0.9975000023841858,0.995,0.8075000047683716,0.8
MTL0.8,0,"[1, 0, 1, 1]",False,512,0.8,align=0.8,wv_3d_square_aligns,0.8550000190734863,0.9975000023841858,0.9166666666666666,0.9804166666666668,0.97516667842865,0.9975000023841858,0.995,0.8550000190734863,0.8
MTL0.2,0,"[1, 1, 1, 1]",False,512,0.2,align=1,wv_3d_square_aligns,1.0,1.0,0.8458333333333333,0.9841666666666667,0.9668332934379578,1.0,1.0,1.0,1.0
TN,0,"[256, 1, 256, 256]",False,512,0.0,align=0.925,wv_3d_square_aligns,0.8475000262260437,0.4600000083446502,0.8058333333333333,0.9891666666666667,0.9723333120346068,0.4600000083446502,0.8575,0.7774999737739563,0.925
MTL0.8,0,"[256, 1, 256, 256]",False,512,0.8,align=0.925,wv_3d_square_aligns,0.9049999713897704,0.9950000047683716,0.8808333333333334,0.9804166666666668,0.972000002861023,0.9950000047683716,0.9975,0.9024999737739564,0.925
TN,0,"[1, 256, 256, 256]",False,512,0.0,align=0.92,wv_3d_square_aligns,0.8650000095367432,0.4600000083446502,0.8241666666666667,0.9795833333333334,0.959999978542328,0.4600000083446502,0.88,0.7450000047683716,0.92
MTL0.8,0,"[1, 1, 1, 1]",False,512,0.8,align=1,wv_3d_square_aligns,1.0,0.9950000047683716,0.8454166666666666,0.9770833333333332,0.9609999656677246,0.9950000047683716,0.9975,0.9975000023841858,1.0
MTL0.5,0,"[1, 256, 256, 256]",False,512,0.5,align=0.92,wv_3d_square_aligns,0.8824999928474426,0.9950000047683716,0.8874999999999998,0.9766666666666666,0.9703333377838136,0.9950000047683716,0.9975,0.8824999928474426,0.92
MTL0.8,0,"[1, 256, 256, 256]",False,512,0.8,align=0.92,wv_3d_square_aligns,0.8824999928474426,0.9950000047683716,0.8666666666666667,0.9666666666666668,0.959833323955536,0.9950000047683716,0.9975,0.8824999928474426,0.92
MTL0.2,0,"[1, 256, 256, 256]",False,512,0.2,align=0.92,wv_3d_square_aligns,0.8725000023841858,0.9950000047683716,0.8654166666666666,0.975,0.9733332991600036,0.9950000047683716,0.985,0.875,0.92
TN,0,"[1, 1, 1, 1]",False,512,0.0,align=1,wv_3d_square_aligns,1.0,0.3824999928474426,0.3975,0.99625,0.9706666469573976,0.3824999928474426,1.0,0.612500011920929,1.0
